Category,Community,01/01/2012,02/01/2012,03/01/2012,04/01/2012,05/01/2012,06/01/2012,07/01/2012,08/01/2012,09/01/2012,10/01/2012,11/01/2012,12/01/2012,01/01/2013,02/01/2013,03/01/2013,04/01/2013,05/01/2013,06/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,12/01/2013,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,SEP,OCT,NOV,DEC
Theft OF Vehicle,BANKVIEW,2,7,2,1,2,1,1,3,3,,2,,1,,1,,6,2,,4,3,1,1,,1,1,2,5,,3,3,4,2,1,2,4,1,2,6,3,1,2,4,1,2,2,2,4,1,3,4,4,4,5,12,3,5,3,8,7,5,2,3,5,5,4,2,9,,,,
Theft OF Vehicle,BAYVIEW,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,
Theft OF Vehicle,BEDDINGTON HEIGHTS,,3,1,4,4,1,1,4,3,6,4,6,2,2,4,2,,1,1,3,1,1,,6,7,6,2,,,,4,2,1,1,1,1,2,1,3,1,2,4,6,5,2,4,3,4,8,1,2,,3,2,5,5,3,5,4,4,4,4,3,9,3,2,6,,,,,
Theft OF Vehicle,BEL-AIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
Theft OF Vehicle,BELTLINE,3,6,5,10,10,6,7,5,5,6,7,8,8,1,7,4,9,5,11,9,11,1,10,7,2,4,4,8,12,12,9,2,6,9,7,2,8,6,12,9,9,9,11,8,14,13,9,10,7,7,22,22,8,7,12,9,16,11,6,13,14,,10,14,8,10,6,11,,,,
Theft OF Vehicle,BONAVISTA DOWNS,1,,,,,1,,,,,,,,1,,,2,,,,,,,,2,,,,1,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,1,,,,,,,,1,,,,,,,,,
Theft OF Vehicle,BOWNESS,3,2,4,5,4,1,4,5,3,6,1,1,4,,1,5,5,4,6,9,4,2,6,4,2,3,1,1,1,4,4,3,4,4,7,,2,3,4,3,3,4,1,4,6,8,5,7,10,5,11,4,7,4,5,6,4,3,4,6,3,,7,7,7,4,5,9,,,,
Theft OF Vehicle,BRAESIDE,2,,,,1,,4,1,1,,,,,,1,1,1,2,,,1,,1,1,1,2,2,2,2,1,1,,,1,,,,,,1,,2,,2,2,3,,,5,1,3,,,2,2,2,3,,2,2,1,,,2,2,,1,,,,,
Theft OF Vehicle,BRENTWOOD,1,1,1,1,3,1,2,1,,3,,2,,3,5,2,1,1,3,1,,1,,,1,1,1,2,,,4,,1,2,1,1,1,4,3,2,,2,3,1,3,4,1,2,,5,4,,4,2,3,3,5,9,,2,2,,5,5,2,3,1,4,,,,
Theft OF Vehicle,BRIDGELAND/RIVERSIDE,2,1,,,,,2,3,2,3,2,2,2,2,2,,4,1,2,2,4,3,,3,1,,,2,1,3,1,,,2,2,4,5,3,3,4,3,3,6,5,2,9,3,5,4,8,7,7,9,2,7,3,3,3,6,4,3,2,1,2,3,,4,3,,,,
Theft OF Vehicle,BRIDLEWOOD,1,3,1,1,2,1,2,,2,,3,3,1,,1,1,3,2,1,2,,1,5,,4,,,,,1,2,1,2,1,,,,,7,1,2,1,,2,,,1,1,3,3,3,1,3,1,2,4,1,4,6,1,3,2,4,1,3,2,,1,,,,
Theft OF Vehicle,BRITANNIA,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,,,,,,1,,,,,,,,,,,
Theft OF Vehicle,BURNS INDUSTRIAL,,,,1,,,4,1,3,1,1,1,1,1,1,1,,,1,2,,2,,,,1,,1,,,,1,,,2,2,,,2,1,1,2,2,2,2,4,1,,4,,,,4,2,,1,3,4,,1,1,,,1,,2,1,1,,,,
Theft OF Vehicle,CALGARY INTERNATIONAL AIRPORT,1,3,2,3,,2,1,1,2,4,1,6,3,4,4,6,1,2,1,,1,2,4,6,,1,,,1,2,3,,1,5,,7,,3,2,4,,3,4,3,,3,2,,1,4,2,2,,1,4,1,2,,2,,2,3,4,2,2,4,3,3,,,,
Theft OF Vehicle,CAMBRIAN HEIGHTS,2,1,,1,1,,,,,,,,,1,,,,2,,,,1,,,1,,,2,,1,,1,,,,1,,2,,,,1,1,1,,,1,,,,1,,2,1,,,1,,,,2,,1,,2,,,1,,,,
Theft OF Vehicle,CANADA OLYMPIC PARK,,,,,1,,,,,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,1,2,,1,,,,,,,
Theft OF Vehicle,CANYON MEADOWS,2,,1,1,4,3,1,2,,1,1,3,,,1,3,,2,2,5,2,1,,,1,1,,4,2,2,1,1,,,1,10,,2,2,3,1,2,2,1,3,3,,2,1,,1,,3,2,4,4,2,6,1,2,4,1,2,1,1,1,3,,,,,
Theft OF Vehicle,CAPITOL HILL,,1,,,1,,2,5,6,1,2,2,,,3,,,3,1,3,,2,2,1,,2,1,2,,2,,2,2,3,2,1,,3,2,2,4,4,3,5,1,2,1,1,3,3,3,,1,2,4,1,5,4,1,3,,1,3,3,3,4,2,1,,,,
Theft OF Vehicle,CASTLERIDGE,2,5,1,2,,4,1,1,1,1,,,1,3,3,2,,,3,,2,2,3,4,,2,3,1,,,,1,2,3,1,2,2,1,2,3,1,6,,3,4,5,4,7,2,4,3,2,4,7,4,3,7,3,4,10,4,3,3,8,1,3,2,2,,,,
Theft OF Vehicle,CEDARBRAE,1,1,,1,,2,,1,,,,2,,,,,,3,,,2,,,,,1,1,1,,,,,,,1,,,,1,,2,1,1,1,2,1,1,,,1,,,,,,2,2,2,,1,,1,,2,1,1,1,,,,,
Theft OF Vehicle,CFB - CURRIE,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,2,,,,1,,,,,1,,,,,
Theft OF Vehicle,CFB - LINCOLN PARK PMQ,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,
Theft OF Vehicle,CHAPARRAL,1,,,2,,,1,,,1,,,,2,1,,,,1,1,6,4,1,2,1,,,1,1,1,1,1,2,1,1,2,2,3,1,,2,2,2,3,5,1,1,2,2,,1,1,2,1,2,1,3,,3,3,4,2,1,1,1,3,1,,,,,
Theft OF Vehicle,CHARLESWOOD,1,,,,,,1,,,,,1,1,1,1,,1,,,,1,1,,1,3,,1,,,,1,,,,,2,,,1,,,1,,,1,,1,,2,,2,,1,,1,1,,,1,,1,1,1,,1,1,1,,,,,
Theft OF Vehicle,CHINATOWN,1,,,,,,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,2,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,
Theft OF Vehicle,CHINOOK PARK,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,1,,,,,,1,,,1,,1,,1,,,,,1,,,,1,,,,,,4,,,,,,,,,1,1,,,,
Theft OF Vehicle,CHRISTIE PARK,1,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,,1,2,1,,,,,,,,,,,1,,,2,,,,,,,2,,,1,,,,,,,1,1,1,1,1,,,,
Theft OF Vehicle,CITADEL,,,,,2,1,1,,2,,,2,,,1,1,1,,,,,,2,,,,,,,,,,2,1,1,2,,2,3,4,,3,3,1,1,3,1,,3,,,,1,,1,1,1,1,2,,1,2,,4,2,1,,1,,,,
Theft OF Vehicle,CITYSCAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,1,,,,,,1,,,1,2,,,2,,,,
Theft OF Vehicle,CLIFF BUNGALOW,3,,1,3,1,1,2,,1,1,1,,1,1,3,1,,1,1,,1,1,1,1,,1,1,,,3,1,,2,1,,,1,,,,2,,,,1,2,,1,1,3,2,2,2,,,,1,1,1,1,1,2,,2,2,,3,3,,,,
Theft OF Vehicle,COACH HILL,1,,,,,,,,1,,,,,,,1,,,,,2,1,,,,,,1,,,1,,,,,,2,1,1,,,2,,1,,1,1,1,,,,2,1,1,1,1,,,,,,1,,1,,,,1,,,,
Theft OF Vehicle,COLLINGWOOD,1,1,1,,,1,,1,,,1,1,1,1,1,2,1,1,,,,,1,,,,,,,,,2,,,,,,3,,,1,2,,2,,1,4,,2,1,,,1,1,1,1,2,1,3,,3,1,2,,1,1,1,1,,,,
Theft OF Vehicle,COPPERFIELD,,,,2,,,,2,1,,1,1,1,,1,1,,,,2,,2,,3,,,1,1,,,,1,,1,1,1,2,2,3,4,2,,2,3,3,3,4,1,2,,,1,,4,1,3,2,1,1,3,6,,,,4,,2,3,,,,
Theft OF Vehicle,CORAL SPRINGS,4,,,2,1,,1,2,5,2,,,1,,1,1,1,2,,,,1,3,4,,1,,1,1,2,2,1,,,,2,1,1,1,,,1,1,,,1,1,2,1,2,,2,2,,2,,1,1,4,,1,2,,1,2,1,2,3,,,,
Theft OF Vehicle,COUGAR RIDGE,,,,,,,,,,,,,,,,,1,,,,,3,1,,,,,1,,,,,1,1,,,1,1,,1,,,,2,1,1,1,1,,1,,1,,1,,,,1,1,2,,2,3,,,,1,1,,,,
Theft OF Vehicle,COUNTRY HILLS,,,1,,,,1,,,,1,,,,3,,,,1,1,,,1,,,1,,,,1,,,1,1,1,1,,1,1,,,1,1,,,,,,1,1,,1,,,3,1,2,,,1,,,,2,,,,,,,,
Theft OF Vehicle,COUNTRY HILLS VILLAGE,,1,,2,,,,,,,,4,,,,,3,,,,,,,,,,,,1,1,,,1,,,,1,,,,1,4,,,2,,,,,,,,,,1,,1,,,2,2,,,,1,,,,,,,
Theft OF Vehicle,COVENTRY HILLS,1,1,,1,,,,3,3,4,2,2,6,3,,2,,2,1,1,2,3,2,10,1,1,1,1,3,6,3,3,3,3,2,3,3,3,2,1,3,4,1,1,1,2,6,3,3,3,2,5,3,3,1,3,3,8,5,1,4,1,3,4,1,,2,5,,,,
Theft OF Vehicle,CRANSTON,2,3,,,1,,2,2,2,1,4,1,3,,4,1,1,3,2,3,4,1,2,1,,1,2,1,2,,2,,1,,2,6,6,2,2,2,1,4,6,1,2,1,5,2,2,,,1,4,2,4,1,,4,3,4,7,6,3,3,5,,1,3,,,,
Theft OF Vehicle,CRESCENT HEIGHTS,1,1,3,2,2,1,3,1,3,1,2,3,5,,2,,3,2,,1,1,,,3,,,,2,1,1,2,2,1,2,1,2,6,2,4,1,8,3,2,2,2,8,5,6,9,7,4,2,1,2,2,4,4,1,6,5,5,2,5,5,1,5,2,2,,,,
Theft OF Vehicle,CRESTMONT,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,1,1,,1,,,,1,1,,,,,,,,,,1,,,,,,
Theft OF Vehicle,DALHOUSIE,3,,,2,1,,1,1,3,1,,1,1,1,,,3,,2,2,1,2,,5,,2,1,1,4,1,3,1,,1,2,4,1,2,2,1,2,,2,5,,2,1,2,1,,2,3,,5,2,1,,4,5,4,,,1,1,3,1,3,1,,,,
Theft OF Vehicle,DEER RIDGE,,2,,,1,,,,,1,2,,,2,,,1,2,,3,,1,3,,3,1,,3,,,2,,2,3,,,,1,1,1,1,2,,,1,,,1,,2,,1,2,,1,1,,1,3,2,,2,3,,,2,2,,,,,
Theft OF Vehicle,DEER RUN,,,,,1,2,1,1,,1,2,,,1,,,1,,1,,,2,1,2,1,,,,,,2,,,,,,1,1,,1,,3,,2,1,,,1,1,,1,4,,1,2,,1,2,1,2,1,,1,,1,,1,1,,,,
Theft OF Vehicle,DEERFOOT BUSINESS CENTRE,1,,,1,,8,3,4,1,,,2,,1,1,1,1,,,,,,1,2,1,,,,,,,,,2,,,1,,1,,1,,,,,5,,,,2,4,2,1,,2,,1,1,,1,,2,1,2,3,1,,1,,,,
Theft OF Vehicle,DIAMOND COVE,,,,,,,,,,,,,,1,,,,,1,1,,1,1,,1,,,1,,,1,1,,,1,,,,,1,1,,,,1,,2,,,,1,,,,1,1,,,,,,,,1,1,,,,,,,
Theft OF Vehicle,DISCOVERY RIDGE,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,1,1,,1,,1,2,,,,,,1,1,,1,2,,2,,,2,,1,,,1,,,,
Theft OF Vehicle,DOUGLASDALE/GLEN,2,1,,1,2,1,,,,1,1,1,4,3,2,3,2,1,1,2,,1,3,1,1,1,2,2,,4,3,1,2,2,,1,4,2,8,1,1,5,1,,3,3,1,2,2,1,1,2,3,3,3,2,2,3,3,5,5,3,5,1,1,3,2,,,,,
Theft OF Vehicle,DOVER,6,4,7,4,5,2,8,5,3,9,6,4,2,6,7,5,7,4,6,5,8,5,8,8,2,5,5,7,3,7,3,9,1,1,4,6,10,7,11,4,7,8,9,6,9,10,3,10,5,4,5,4,2,9,6,8,7,8,5,12,9,7,12,9,3,5,13,5,,,,
Theft OF Vehicle,DOWNTOWN COMMERCIAL CORE,3,4,11,2,3,4,2,6,3,3,4,3,3,1,5,2,1,3,1,,,10,3,1,2,4,3,5,2,4,5,2,1,3,2,2,4,5,8,,6,7,7,5,3,8,5,7,4,9,9,7,2,6,11,4,5,2,2,9,8,7,11,4,7,6,3,3,,,,
Theft OF Vehicle,DOWNTOWN EAST VILLAGE,1,,,,1,,,,1,,1,,1,,,,,,,,1,,,,1,,,1,1,,,1,,,,,2,,3,1,1,3,3,,5,,,2,,,,,,,,,2,,,1,,1,2,1,3,2,3,,,,,
Theft OF Vehicle,DOWNTOWN WEST END,,,1,,,,,,2,1,,,,1,,1,,,2,,,,,1,,1,1,,,,1,,,,1,,1,,1,,,,,,3,,,,1,,,,,,1,2,2,,,,,,1,,1,1,,2,,,,
Theft OF Vehicle,EAGLE RIDGE,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Theft OF Vehicle,EAST FAIRVIEW INDUSTRIAL,,,1,2,,,1,,1,1,3,2,2,1,,2,,2,3,,1,1,,1,1,,,,1,2,1,,,,1,,,,1,1,1,2,1,1,2,2,2,,3,1,2,2,,1,,,2,1,,,1,,1,,1,,3,,,,,
Theft OF Vehicle,EAST SHEPARD INDUSTRIAL,1,2,1,,2,2,1,1,3,3,1,2,3,,1,2,3,2,1,2,3,2,3,1,1,1,1,,1,3,4,4,,3,1,,4,5,,4,1,3,4,,4,1,1,2,2,,1,3,2,1,2,,5,3,3,1,7,1,1,5,6,5,4,2,,,,
Theft OF Vehicle,EASTFIELD,,,,,,1,,2,2,,,2,1,,1,,4,,,1,1,,,,,,,1,1,,,1,1,,,,1,,,,1,,,,,,1,,,1,,1,,2,,,1,3,1,1,1,3,,2,,1,2,1,,,,
Theft OF Vehicle,EAU CLAIRE,1,1,,,,,2,1,1,,,1,,,,,,,,1,,,1,,2,,,1,2,2,,1,1,,,,1,2,1,,,,,,1,1,1,2,,,,,1,,,1,,1,1,,,,,1,1,,1,,,,,
Theft OF Vehicle,EDGEMONT,,1,,2,2,1,,3,1,1,,,,,1,,3,1,,1,1,2,2,12,,1,1,1,,1,1,,,4,3,1,3,1,1,,1,1,,3,3,2,1,3,3,2,1,2,,,2,,1,2,1,2,2,1,3,3,3,2,2,5,,,,
Theft OF Vehicle,ELBOW PARK,,,1,,,,,,,,2,,1,1,,,2,1,,,2,,1,,,,,,3,,,1,,,1,1,,2,,,3,1,,1,3,,1,,2,2,,1,,1,1,1,,,2,,1,,1,,,2,1,2,,,,
Theft OF Vehicle,ELBOYA,,,1,1,1,,,,,,,,,,1,,,,2,,1,,1,,1,,,1,,,1,1,1,2,,4,1,1,1,1,,1,,,1,,,,1,,1,1,,,2,,,3,,1,2,2,2,4,1,,1,,,,,
Theft OF Vehicle,ERIN WOODS,1,6,2,3,,4,2,1,,1,1,2,,3,2,1,,4,1,6,2,1,2,7,1,5,2,1,2,3,3,1,,2,1,2,5,5,1,3,1,6,2,7,,1,4,3,2,,2,6,5,2,5,4,3,5,6,6,1,4,3,2,3,1,9,5,,,,
Theft OF Vehicle,ERLTON,,,1,,,,1,2,2,,,1,,,,,,1,1,1,,,,,,,,,,,1,,,1,,,,,,,,,1,,1,2,,2,1,,,,,,,,1,,,,,,,1,1,2,2,,,,,
Theft OF Vehicle,EVANSTON,1,2,,,,,,,,,2,,2,,3,3,1,,,1,,1,2,2,2,,,,,1,,,,,2,4,,2,2,2,1,2,,3,1,2,1,2,3,3,2,1,2,2,1,1,,,7,1,3,2,,4,1,,1,1,,,,
Theft OF Vehicle,EVERGREEN,1,2,,2,,,1,4,2,2,3,,,,1,3,1,1,1,1,2,2,2,,,2,,,1,3,2,1,2,2,,3,2,1,6,1,3,1,,1,,,2,1,1,2,,1,1,,2,,2,2,,2,4,1,,,,2,,3,,,,
Theft OF Vehicle,FAIRVIEW,2,1,1,2,,,,,2,,,,1,2,1,,,1,,1,1,1,1,1,1,,,1,2,1,,1,3,,,,2,1,,2,,,2,2,3,1,1,1,1,,2,,,3,2,3,2,1,1,1,2,,3,2,4,6,,2,,,,
Theft OF Vehicle,FAIRVIEW INDUSTRIAL,,,1,,,2,1,1,,,,2,1,,,2,,,,,,4,1,,,,,,,,,,,,,1,,2,1,1,,,,,1,,1,,,,2,,1,,,,1,1,,1,4,1,2,3,1,3,3,3,,,,
Theft OF Vehicle,FALCONRIDGE,3,5,2,1,2,6,6,3,2,4,4,8,8,2,3,8,10,14,6,6,16,12,4,10,4,2,5,2,2,2,5,5,1,1,6,4,8,8,7,3,6,1,4,6,4,9,8,8,3,8,7,1,7,4,7,6,5,5,7,11,7,6,9,3,2,3,5,2,,,,
Theft OF Vehicle,FISH CREEK PARK,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Theft OF Vehicle,FOOTHILLS,4,2,2,2,1,4,6,6,4,7,4,12,7,4,10,4,6,2,4,3,5,2,5,2,5,3,3,4,,6,1,5,4,3,2,5,2,6,5,4,15,7,6,6,8,7,8,2,7,4,3,6,6,4,3,7,7,9,3,8,6,2,4,7,4,7,7,5,,,,
Theft OF Vehicle,FOREST HEIGHTS,2,3,,5,,2,1,,6,4,4,,,1,2,1,1,2,2,1,,4,3,3,2,5,1,4,2,1,4,3,1,,4,,7,2,5,,6,2,1,7,2,4,6,5,1,,3,5,3,8,2,6,7,2,4,4,12,2,4,7,9,5,5,2,,,,
Theft OF Vehicle,FOREST LAWN,5,6,3,2,1,4,6,2,7,9,6,4,6,3,8,3,1,4,4,2,4,3,10,7,5,4,4,9,4,8,9,6,4,3,9,5,3,14,4,6,5,9,5,8,11,8,4,6,6,5,3,6,6,16,7,8,5,6,13,10,22,12,12,6,7,6,2,9,,,,
Theft OF Vehicle,FOREST LAWN INDUSTRIAL,,1,1,1,1,,2,1,1,1,,2,1,2,,,1,1,2,1,,4,1,,1,2,3,1,,,,1,,2,,1,,,1,4,3,,,2,4,3,1,1,1,2,2,,1,3,3,1,5,2,2,3,2,,1,2,,2,1,,,,,
Theft OF Vehicle,FRANKLIN,1,1,,,,,3,2,4,1,1,2,2,1,1,1,2,3,4,3,,2,2,2,2,1,,2,4,1,2,3,1,1,,1,3,3,2,2,,3,5,4,2,2,5,2,2,2,5,3,4,2,2,4,2,1,1,2,5,1,5,8,4,3,1,3,,,,
Theft OF Vehicle,GLAMORGAN,1,3,,1,,1,1,,,,,2,1,,3,1,2,1,1,1,2,1,,1,,,1,3,1,3,4,2,2,,1,,1,4,,1,,4,2,1,1,2,1,5,,,1,5,5,2,2,,,2,7,1,3,,3,2,3,3,2,1,,,,
Theft OF Vehicle,GLENBROOK,,,,,,1,1,1,1,1,1,2,,1,4,,2,1,2,3,1,1,,3,2,,,1,4,1,1,,1,,2,1,1,3,8,,1,6,5,2,2,5,3,1,3,2,4,4,4,3,,2,,3,3,2,,1,3,2,6,,1,2,,,,
Theft OF Vehicle,GLENDALE,,1,,2,1,,,,,2,1,,1,1,1,,,1,,2,,,,,1,,,1,,1,1,,,,,1,2,2,,3,,,4,1,,1,,,1,1,1,1,1,,2,,,,1,,,1,,,1,,,1,,,,
Theft OF Vehicle,GLENDEER BUSINESS PARK,,1,,,,,,,,,1,,1,,,,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Theft OF Vehicle,GLENMORE PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Theft OF Vehicle,GOLDEN TRIANGLE,,,,,,2,,,2,,,,,1,,1,1,2,,1,1,1,,,,1,,,1,,2,1,1,2,,1,,1,1,1,1,,2,,,1,,1,,1,1,,1,,2,1,2,,,1,,1,,,,2,,2,,,,
Theft OF Vehicle,GREAT PLAINS,,,,,,,,,,1,,,,,,2,,1,,,,,,,,,,,,,,1,,,1,,,2,1,,,,1,,,,,,1,,,,1,3,,,,1,,,4,2,,2,1,1,1,2,,,,
Theft OF Vehicle,GREENVIEW,,,,,,,,,,,,,,1,1,,,,,2,2,1,,,,,,,,,,1,,,2,,2,1,1,,1,4,4,,2,1,,1,,,,1,,,,,1,1,1,,1,1,2,,,2,1,2,,,,
Theft OF Vehicle,GREENVIEW INDUSTRIAL PARK,1,2,2,1,,1,,2,,,,4,,,1,,,,,2,1,1,3,2,5,2,1,1,4,2,1,1,2,,3,2,1,2,2,4,,2,1,,2,1,2,2,4,4,,1,1,1,2,,1,1,1,3,1,4,3,4,3,1,4,2,,,,
Theft OF Vehicle,GREENWOOD/GREENBRIAR,,,,,,,,,,1,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,
Theft OF Vehicle,HAMPTONS,,,,,,,,,4,,,,1,,1,,1,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,,1,,,1,,,,1,,,,1,,1,,,,,
Theft OF Vehicle,HARVEST HILLS,,1,,1,1,2,,,1,1,2,2,,,3,5,,2,2,,,,,2,,,1,,,,,,,1,,3,,1,1,5,1,7,2,4,3,1,,1,3,1,1,,3,1,2,2,2,2,,3,1,1,2,2,2,,1,,,,,
Theft OF Vehicle,HAWKWOOD,,,,,,1,,,1,1,,,1,,3,1,1,2,,,,,2,4,1,,,,,,,,,,,4,2,3,2,4,2,1,1,3,1,2,,2,1,1,,,,,,2,,,2,2,,1,1,,2,,1,,,,,
Theft OF Vehicle,HAYSBORO,4,1,1,,1,2,2,1,2,2,1,4,2,1,2,3,3,1,1,1,,2,1,,3,1,,,2,2,3,1,,2,,2,2,2,3,,2,1,3,2,3,6,,4,2,3,1,2,,1,2,4,2,6,2,,4,3,2,1,9,1,4,1,,,,
Theft OF Vehicle,HIDDEN VALLEY,1,,1,2,,,1,1,2,1,,4,1,2,,3,,,,1,,1,,6,1,2,2,,1,1,1,,1,,3,2,3,2,3,4,,2,2,1,4,5,2,2,3,2,2,,3,1,,1,1,2,3,3,5,1,,2,,,4,1,,,,
Theft OF Vehicle,HIGHFIELD,,,,,,3,1,1,1,3,1,5,,1,3,1,,4,2,2,2,2,1,3,1,1,1,,,,,2,1,2,4,1,2,9,4,3,6,2,3,,1,1,3,2,,1,1,4,4,4,2,2,,5,3,2,2,,,4,2,2,1,1,,,,
Theft OF Vehicle,HIGHLAND PARK,2,,1,5,1,5,4,2,3,1,1,2,,1,1,3,2,1,1,4,1,2,1,5,1,2,1,2,4,1,1,7,3,2,3,2,2,2,4,7,4,10,9,4,4,7,2,1,3,1,5,6,4,1,4,4,3,4,1,3,2,3,1,3,6,1,,1,,,,
Theft OF Vehicle,HIGHWOOD,,1,,1,,,,,,1,1,,,1,,1,1,,,,2,1,2,1,1,1,,,1,,,,,2,1,,2,2,6,,1,2,,2,,1,,3,1,1,1,2,2,1,,1,1,,,,2,2,3,2,1,4,1,2,,,,
Theft OF Vehicle,HILLHURST,1,2,1,1,3,,3,1,3,2,1,1,,,,3,2,,1,4,,2,,1,1,1,1,2,1,2,2,,2,1,,4,2,4,,2,,5,3,1,6,2,,,1,2,4,6,2,2,1,,4,3,4,6,1,,,2,7,6,3,2,,,,
Theft OF Vehicle,HORIZON,,1,2,2,1,,1,1,1,,,15,3,1,,1,,1,4,,1,2,4,7,2,1,,2,1,3,1,4,,,4,1,2,2,3,2,4,4,5,3,2,,1,1,2,2,1,1,2,,3,3,1,,2,1,4,1,2,1,2,2,4,2,,,,
Theft OF Vehicle,HOUNSFIELD HEIGHTS/BRIAR HILL,,,,2,,4,1,,,1,1,,,,4,1,1,1,1,1,3,,,,2,3,1,1,4,1,2,,2,1,4,,2,1,1,,1,6,1,2,1,2,1,,2,3,1,3,,,1,,5,,1,2,2,1,1,4,4,2,2,3,,,,
Theft OF Vehicle,HUNTINGTON HILLS,7,3,,4,2,2,2,4,2,2,3,4,5,3,5,5,2,1,2,7,1,2,3,,3,2,,,2,2,2,2,6,2,1,2,6,7,8,5,6,3,4,,,2,3,6,6,4,1,8,5,2,5,3,3,6,2,3,16,3,9,9,6,5,12,5,,,,
Theft OF Vehicle,INGLEWOOD,,1,,2,,2,3,1,1,,2,4,1,,1,,,1,2,,2,,,1,2,1,1,,1,1,4,5,,2,1,2,3,2,,2,1,1,1,2,2,4,3,1,,1,,3,,2,3,,,4,3,3,2,3,2,1,3,2,1,1,,,,
Theft OF Vehicle,KELVIN GROVE,,,1,,,,,,1,,1,,1,,1,2,,1,,,,,,1,,,,,,,1,1,1,,1,,,,2,,,,,,2,,1,,1,3,,,2,2,1,,1,2,,,1,,,,,,1,,,,,
Theft OF Vehicle,KILLARNEY/GLENGARRY,2,5,1,,1,1,,1,5,3,4,1,3,1,2,1,1,,,1,2,1,2,1,1,2,2,1,,2,2,4,3,1,3,1,2,7,3,1,2,6,1,2,2,1,3,4,2,4,1,5,6,3,3,4,,5,2,7,6,2,,10,5,5,3,1,,,,
Theft OF Vehicle,KINCORA,,,,,,,,,,,,,,,,2,,1,1,2,,,,2,,,,,,2,,,1,,,,,,1,,,,2,,1,1,,1,4,1,1,,,1,,,1,1,2,1,,2,2,3,1,2,1,,,,,
Theft OF Vehicle,KINGSLAND,1,1,1,,,,2,,2,,1,1,2,3,,,1,3,1,2,2,1,1,,,1,2,2,,2,,,1,,1,,,1,4,2,1,2,2,1,3,4,3,3,2,1,6,4,1,4,2,4,3,1,1,1,3,4,7,,2,2,2,3,,,,
Theft OF Vehicle,LAKE BONAVISTA,,,2,2,1,1,1,2,4,1,,,,1,1,1,2,1,3,3,6,1,3,2,,1,1,2,2,4,4,,,2,,6,1,4,3,2,4,9,3,,3,4,1,2,1,3,2,3,2,2,4,3,5,3,2,3,3,2,,7,1,5,4,2,,,,
Theft OF Vehicle,LAKEVIEW,4,1,,,1,1,,2,,,1,2,,1,2,2,,,,1,2,,,,,,,,2,,1,,1,1,,,,,,2,1,2,1,1,2,,,1,,,,1,,1,1,,,3,1,1,,5,,1,,1,1,2,,,,
